"LR No.","Master waybill","Warehouse Name","Description ","Order Id","Service Code","Vendor Code","Total Weight (in KG)","Actual Weight","Box Count ",Length,Breadth,Height,"Payment Mode","COD AMOUNT",Insurance,"e-Way bill","Invoice Amount","Invoice No","Shipper GSTIN","Consignee GSTIN",Company,"Consignee Name",Contact,Address,"Destination Pincode","Destination City","Destination State","Origin Pincode",Date,"Customer Code","Import Status","Error Message"
990048815,21040212513,32970153,BOX,1.02E+11,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,1,,,,"SSBC Global Logistics Private Limited","Krishnamurthy M",,,580021,HUBLI,,411013,25/5/2026,32987397,Success,"Inserted Successfully"
990048814,53658432100,32970074,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,20,11,1,10,10,10,PREPAID,,,,683630,,,,"Universal World Wide Express",RUSHIKESH,,,412207,WAGHOLI,,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
58911403176,58911403176,32970297,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,1,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600041,CHENNAI,"Tamil Nadu",781003,23/5/2026,32987296,Failed,"Order ID can not be blank"
58911403165,58911403165,32970297,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,1,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600041,CHENNAI,"Tamil Nadu",781003,23/5/2026,32987296,Failed,"Order ID can not be blank"
990048811,58165978220,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,15,15,1,10,10,10,PREPAID,,,,285,,,,"Universal World Wide Express",MR.YOGESH,,,122002,GURGAON,Haryana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048810,58165978010,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,1,10,10,10,PREPAID,,,,20000,,,,"Universal World Wide Express","QMAX TEST TECHNOLOGIES",,,600119,CHENNAI,"Tamil Nadu",400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048809,53658422705,32970074,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,20,4,1,10,10,10,PREPAID,,,,1000,,,,"Universal World Wide Express","DINESH SINGH BOHRA",,,263139,HALDWANI,"UTTRAKHAND ",400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048808,58165977704,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,2,1,10,10,10,PREPAID,,,,75520,,,,"Universal World Wide Express","SAVEER BIOTHEC LTD",,,201306,NOIDA,Haryana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048807,58165977553,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,2,1,10,10,10,PREPAID,,,,300900,,,,"Universal World Wide Express","PREMIER MEDICAL SYSTEMS",,,201307,NOIDA,Haryana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
51934613312,51934613312,32970297,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,34,34,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,700143,KOLKATA,"West Bengal",781003,22/5/2026,32987296,Failed,"Order ID can not be blank"
51934613301,51934613301,32970297,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,104,104,3,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600124,CHENNAI,"Tamil Nadu",781003,23/5/2026,32987296,Failed,"Order ID can not be blank"
990048804,53658418354,32970074,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,20,11,1,10,10,10,PREPAID,,,,43662,,,,"Universal World Wide Express","LABEX TECHNOLOGIES",,,411058,PUNE,Maharashtra,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
51934613290,51934613290,32970297,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,20,10,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,700143,KOLKATA,"West Bengal",781003,23/5/2026,32987296,Failed,"Order ID can not be blank"
990048802,58165976293,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,1,1,10,10,10,PREPAID,,,,232699.5,,,,"Universal World Wide Express","DR.REDDYS LABORATORIES LTD",,,530046,VISAKHAPATNAM,"Andhra Pradesh",400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
58046137951,58046137951,32970297,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,7,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600041,CHENNAI,"Tamil Nadu",781003,22/5/2026,32987296,Failed,"Order ID can not be blank"
990048800,58165976223,"RADHA ENTERPRIS",BOX,DC/26-27/81,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,21,21,1,10,10,10,PREPAID,,,,47200,,,,"RADHA ENTERPRISES","MR. VIPUL",,,700071,KOLKATA,"West Bengal",110020,25/5/2026,32987378,Success,"Inserted Successfully"
58046137936,58046137936,32970297,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,7,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600041,CHENNAI,"Tamil Nadu",781003,22/5/2026,32987296,Failed,"Order ID can not be blank"
990048798,58165975895,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,6,1,10,10,10,PREPAID,,,,3000,,,,"Universal World Wide Express","SONALI BEHARANI",,,500001,HYDERABAD,Telangana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
58046137940,58046137940,32970297,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,5,1,10,10,10,PREPAID,,,,0,,,,"YCH Logistics India Pvt. Ltd (GUWAHATI)","LENOVO INDIA PVT LTD",,,600041,CHENNAI,"Tamil Nadu",781003,22/5/2026,32987296,Failed,"Order ID can not be blank"
990048796,58165975512,32970074,BOX,324,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,19,18,2,10,10,10,PREPAID,,,,180036,,,,"Universal World Wide Express","ACCURATE SERVICES",,,110092,DELHI,Delhi,400078,25/5/2026,32987497,Success,"Inserted Successfully"
990048795,58165975490,"RADHA ENTERPRIS",BOX,AIS/LTR/26-27/98,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3,2,10,10,10,PREPAID,,,,10000,,,,"RADHA ENTERPRISES","MS SENSE VARUN",,,482002,JABALPUR,"Madhya Pradesh",110020,25/5/2026,32987378,Success,"Inserted Successfully"
990048794,58165975162,32970074,BOX,327,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,15,10,1,10,10,10,PREPAID,,,,147190,,,,"Universal World Wide Express","ACCURATE SERVICES",,,110092,DELHI,Delhi,400078,25/5/2026,32987497,Success,"Inserted Successfully"
990048793,58165975033,32970074,BOX,325,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,12,9,1,10,10,10,PREPAID,,,,93279,,,,"Universal World Wide Express","KOP MACHINERY",,,201306,NOIDA,Haryana,400078,25/5/2026,32987497,Success,"Inserted Successfully"
990048792,53658412706,32970074,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,30,30,2,10,10,10,PREPAID,,,,50976,,,,"Universal World Wide Express","MNP MEDTECH PVT LTD",,,121004,FARIDABAD,Haryana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
987155824,53658412684,32970588,BOX,"26586065 SX",PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,10,0.5,1,10,10,10,PREPAID,,,,158,,,,"OTIS ELEVATOR COMPANY (INDIA) LIMITED-27","OTIS ELEVATOR COMPANY INDIA LTD",,,302013,JAIPUR,Rajasthan,110020,25/5/2026,32987561,Success,"Inserted Successfully"
990048791,58165974882,"RADHA ENTERPRIS",BOX,GST/26-27/093,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,72,60.96,5,10,10,10,PREPAID,,,,188800,,,,"RADHA ENTERPRISES",SACHIN,,,700068,KOLKATA,"West Bengal",110020,25/5/2026,32987378,Success,"Inserted Successfully"
987155826,53658411026,32970588,BOX,"26590635 ST",PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,10,8,1,10,10,10,PREPAID,,,,31308,,,,"OTIS ELEVATOR COMPANY (INDIA) LIMITED-27","OTIS ELEVATOR COMPANY INDIA LTD",,,700046,KOLKATA,"West Bengal",110020,25/5/2026,32987561,Success,"Inserted Successfully"
